codigo,nombre,correo
E001,Tomas Galvan,tomig@email.com
E002,Santiago Lencina,santilenci2005@email.com
E003,Julian Alvarez,araña912@email.com
E004,Enzo Fernandez,enzito@email.com
E005,Leonel Jaime,clj06@email.com
E006,Joaquin Freitas,joaquin@email.com
E007,Juanfer Quintero,juanfer@email.com
E008,Santino Gonzalez,santino@email.com
E009,Santiago Chit,santiago.chit@email.com
E010,David Quint,david@email.com
E011,Matias Sanchez,matias@email.com
E012,Jose Ponce,jose@email.com
E013,Esequiel Barco,esequiel@email.com
E014,Facundo Colidio,facundo@email.com
E015,Gustavo Mejia,gustavo@email.com
E016,Sandra Rossi,sandra@email.com
E017,Juan Repolles,juan.repolles@email.com
E018,Fran Bellozo,fran@email.com
E019,Cayetano Marelli,cayetano@email.com
E020,Mirko Gimenez,mirko@email.com
E021,Ignacio Malcorra,ignacio@email.com
